OBJECTID,TreeID,Genus,SpecificEpithet,CultivarName,ScientificName,CommonName,DBH_in,Height_ft,CampusArea
3393,2,Rhus,integrifolia,,Rhus integrifolia,Lemonade Berry,13.77952756,16 - 33 Feet,Main Campus
3394,4,Calocedrus,decurrens,,Calocedrus decurrens,Incense Cedar,11.41732283,16 - 33 Feet,Main Campus
3395,5,Calocedrus,decurrens,,Calocedrus decurrens,Incense Cedar,13.77952756,16 - 33 Feet,Main Campus
3396,6,Calocedrus,decurrens,,Calocedrus decurrens,Incense Cedar,15.7480315,34 - 50 Feet,Main Campus
3397,7,Calocedrus,decurrens,,Calocedrus decurrens,Incense Cedar,11.81102362,16 - 33 Feet,Main Campus
3398,8,Calocedrus,decurrens,,Calocedrus decurrens,Incense Cedar,9.84251969,16 - 33 Feet,Main Campus
3399,9,Calocedrus,decurrens,,Calocedrus decurrens,Incense Cedar,13.77952756,16 - 33 Feet,Main Campus
3400,10,Parkinsonia,aculeata,,Parkinsonia aculeata,Jerusalem Thorn,3.54330709,< 16 Feet,Main Campus
3401,11,Quercus,lobata,,Quercus lobata,Valley Oak,17.71653543,34 - 50 Feet,Main Campus
3403,13,Vitex,agnus-castus,,Vitex agnus-castus,Chaste Tree,13.77952756,16 - 33 Feet,Main Campus
3404,293,Cupressus,sempervirens,,Cupressus sempervirens,Italian Cypress,6,16 - 33 Feet,Main Campus
3405,294,Cupressus,sempervirens,,Cupressus sempervirens,Italian Cypress,8,16 - 33 Feet,Main Campus
3406,298,Cupressus,sempervirens,,Cupressus sempervirens,Italian Cypress,2,< 16 Feet,Main Campus
3407,300,Cupressus,sempervirens,,Cupressus sempervirens,Italian Cypress,10,16 - 33 Feet,Main Campus
3408,301,Cupressus,sempervirens,,Cupressus sempervirens,Italian Cypress,10,16 - 33 Feet,Main Campus
3409,302,Cupressus,sempervirens,,Cupressus sempervirens,Italian Cypress,10,16 - 33 Feet,Main Campus
3410,303,Cupressus,sempervirens,,Cupressus sempervirens,Italian Cypress,10,16 - 33 Feet,Main Campus
3411,304,Cupressus,sempervirens,,Cupressus sempervirens,Italian Cypress,10,16 - 33 Feet,Main Campus
